# Saarthi dynamic block geography — India-wide LGD registry.
# GENERATED by scripts/build_india_blocks.py — do not hand-edit rows.
# Hierarchy + LGD codes: Ministry of Panchayati Raj LGD block table via the
# India Data Portal CKAN mirror (ODbL):
# https://ckandev.indiadataportal.com/dataset/lgd-codes (block-lgd-codes.csv).
# Coordinates: Sangrur/Malerkotla seed rows are Bhuvan polygon bbox-centres
# (location_method=bhuvan_polygon_centroid); rows joined to the bharatlas
# LGD block polygons use true polygon bbox-centres
# (location_method=polygon_centroid); the small remainder without polygons
# uses Open-Meteo geocoding town locations accepted ONLY on admin1
# (state) match (location_method=geocoded_centroid). Per-row queries in
# data/processed/geography/blocks_build.json. Rows without verified
# coordinates are DROPPED (never invented) — see skipped list there.
# Legacy deviations: 'Moonak' keeps Bhuvan ID bhuvan_b_274 (no current LGD
# development-block entry); legacy 'Lehra' = LGD 'Lehragaga' (344).
state_code,state_name,district_code,district_name,block_code,block_name,latitude,longitude,location_method
1,Jammu and Kashmir,622,Kulgam,9,Qaimoh,33.75875,75.06251,polygon_centroid
1,Jammu and Kashmir,623,Bandipora,21,Bandipora,34.49305,74.73146,polygon_centroid
1,Jammu and Kashmir,623,Bandipora,24,Gurez,34.62886,74.77031,polygon_centroid
1,Jammu and Kashmir,623,Bandipora,25,Hajin,34.34231,74.62794,polygon_centroid
1,Jammu and Kashmir,623,Bandipora,32,Sumbal,34.21133,74.642,polygon_centroid
1,Jammu and Kashmir,623,Bandipora,6545,Tulail,34.50413,75.12801,polygon_centroid
1,Jammu and Kashmir,623,Bandipora,6908,Aloosa,34.43767,74.54446,polygon_centroid
1,Jammu and Kashmir,623,Bandipora,6909,Bonkoot,34.50941,74.7633,polygon_centroid
1,Jammu and Kashmir,623,Bandipora,6910,Arin,34.43124,74.72815,polygon_centroid
1,Jammu and Kashmir,623,Bandipora,6911,Naidkhay,34.27199,74.57618,polygon_centroid
1,Jammu and Kashmir,623,Bandipora,6912,Ganstan,34.63017,74.93817,polygon_centroid
1,Jammu and Kashmir,623,Bandipora,6913,Nowgam,34.20799,74.60522,polygon_centroid
1,Jammu and Kashmir,624,Samba,62,Purmandal,32.65076,75.01894,polygon_centroid
1,Jammu and Kashmir,624,Samba,66,Vijaypur,32.56603,74.95323,polygon_centroid
1,Jammu and Kashmir,624,Samba,6936,Rajpura,32.45143,75.16141,polygon_centroid
1,Jammu and Kashmir,624,Samba,7051,Bari Brahmana,32.67786,75.01437,polygon_centroid
1,Jammu and Kashmir,624,Samba,79,Ghagwal,32.51873,75.20404,polygon_centroid
1,Jammu and Kashmir,625,Shopian,110,Shopian,33.74166,74.81091,polygon_centroid
1,Jammu and Kashmir,625,Shopian,6877,Keller,33.77189,74.77898,polygon_centroid
1,Jammu and Kashmir,625,Shopian,6878,Kanji Ullar,33.65596,74.86557,polygon_centroid
1,Jammu and Kashmir,625,Shopian,6879,Ramnagri,33.66468,74.81401,polygon_centroid
