forecast_date,split,lead_day,block,forecast_target_date,forecast_rainfall_mm,valid_pixel_count,source_issue,source_target,target_7d_rainfall_mm
2016-06-02,train,6,Lehra,2016-06-08,0.0,16,2016.06.02,2016.06.08,0.0
2016-06-02,train,6,Malerkotla,2016-06-08,0.0522493918792211,28,2016.06.02,2016.06.08,0.00047155853726075126
2016-06-02,train,6,Moonak,2016-06-08,0.0,12,2016.06.02,2016.06.08,0.048386569319752694
2016-06-02,train,6,Sangrur,2016-06-08,0.0057251641160941,28,2016.06.02,2016.06.08,0.06762964472998971
2016-06-02,train,6,Sunam,2016-06-08,0.0024077689636864,28,2016.06.02,2016.06.08,0.0525047559856821
2016-06-02,train,7,Dhuri,2016-06-09,0.0740113679996945,22,2016.06.02,2016.06.09,0.0
2016-06-02,train,7,Lehra,2016-06-09,0.0908232782967388,16,2016.06.02,2016.06.09,0.0
2016-06-02,train,7,Malerkotla,2016-06-09,0.1072259332452501,28,2016.06.02,2016.06.09,0.00047155853726075126
2016-06-02,train,7,Moonak,2016-06-09,0.114271809036533,12,2016.06.02,2016.06.09,0.048386569319752694
2016-06-02,train,7,Sangrur,2016-06-09,0.0752094426591481,28,2016.06.02,2016.06.09,0.06762964472998971
2016-06-02,train,7,Sunam,2016-06-09,0.0688200353511742,28,2016.06.02,2016.06.09,0.0525047559856821
2016-06-03,train,1,Dhuri,2016-06-04,0.0,22,2016.06.03,2016.06.04,0.0
2016-06-03,train,1,Lehra,2016-06-04,0.0,16,2016.06.03,2016.06.04,0.0
2016-06-03,train,1,Malerkotla,2016-06-04,0.0,28,2016.06.03,2016.06.04,0.0006854504688817543
2016-06-03,train,1,Moonak,2016-06-04,0.0,12,2016.06.03,2016.06.04,0.07022092422954379
2016-06-03,train,1,Sangrur,2016-06-04,0.0,28,2016.06.03,2016.06.04,0.10078443445280301
2016-06-03,train,1,Sunam,2016-06-04,0.0,28,2016.06.03,2016.06.04,0.06366861460900419
2016-06-03,train,2,Dhuri,2016-06-05,0.0,22,2016.06.03,2016.06.05,0.0
2016-06-03,train,2,Lehra,2016-06-05,0.0,16,2016.06.03,2016.06.05,0.0
2016-06-03,train,2,Malerkotla,2016-06-05,5.484702290102307e-05,28,2016.06.03,2016.06.05,0.0006854504688817543
2016-06-03,train,2,Moonak,2016-06-05,0.0,12,2016.06.03,2016.06.05,0.07022092422954379
2016-06-03,train,2,Sangrur,2016-06-05,0.0,28,2016.06.03,2016.06.05,0.10078443445280301
2016-06-03,train,2,Sunam,2016-06-05,0.0,28,2016.06.03,2016.06.05,0.06366861460900419
2016-06-03,train,3,Dhuri,2016-06-06,0.0004337496039542,22,2016.06.03,2016.06.06,0.0
2016-06-03,train,3,Lehra,2016-06-06,0.0014103408320806,16,2016.06.03,2016.06.06,0.0
2016-06-03,train,3,Malerkotla,2016-06-06,0.0,28,2016.06.03,2016.06.06,0.0006854504688817543
