issue,offset,block,phase,amp,active,jjas,anom_mm,expected_mm,pct
2018-05-24,3,Sangrur,2,1.819476,True,0,-3.1378384992058868,3.5656000000000003,-88.00309903539059
2018-05-24,3,Sunam,2,1.819476,True,0,-2.666190043493386,3.5627000000000004,-74.83622094179654
2018-05-25,3,Dhuri,2,1.8436537,True,0,-3.773592222860831,4.1041,-91.9468878161066
2018-05-25,3,Lehra,2,1.8436537,True,0,-3.126322441957819,3.2656,-95.73500863418113
2018-05-25,3,Malerkotla,2,1.8436537,True,0,-4.2451716517127975,4.9092,-86.47379719124903
2018-05-25,3,Moonak,2,1.8436537,True,0,-3.3796598767554524,3.3800000000000003,-99.98993718211396
2018-05-25,3,Sangrur,2,1.8436537,True,0,-3.2321383849950913,3.6599,-88.31220484152821
2018-05-25,3,Sunam,2,1.8436537,True,0,-2.7228900434933863,3.6194,-75.23042613398314
2018-05-26,3,Dhuri,2,1.9999778,True,0,-3.7842835615064176,4.2741,-88.53989287818297
2018-05-26,3,Lehra,2,1.9999778,True,0,-3.2104515880809883,3.3598,-95.5548421953982
2018-05-26,3,Malerkotla,2,1.9999778,True,0,-3.9824205353931896,5.068300000000001,-78.5750751808928
2018-05-26,3,Moonak,2,1.9999778,True,0,-3.5181447268921175,3.5185000000000004,-99.98990271115865
2018-05-26,3,Sangrur,2,1.9999778,True,0,-3.380868950179616,3.8401,-88.04116950547161
2018-05-26,3,Sunam,2,1.9999778,True,0,-2.818418544788273,3.795,-74.26662832116662
2018-05-27,3,Dhuri,2,1.8372942,True,0,-1.5451526430969604,4.6112,-33.50868847798752
2018-05-27,3,Lehra,2,1.8372942,True,0,-3.3640551771780283,3.6336,-92.58187960089245
2018-05-27,3,Malerkotla,2,1.8372942,True,0,2.5878369750036576,5.3456,48.41059890383975
2018-05-27,3,Moonak,2,1.8372942,True,0,-3.855597315896084,3.8562,-99.98437103615177
2018-05-27,3,Sangrur,2,1.8372942,True,0,-2.2074066761538393,4.215,-52.37026515192976
2018-05-27,3,Sunam,2,1.8372942,True,0,-1.9513289703010757,4.1648,-46.852885379876
2018-05-28,3,Dhuri,3,1.6347299,True,0,9.595604142109458,4.984100000000001,192.52431014846124
2018-05-28,3,Lehra,3,1.6347299,True,0,1.5993287444136217,3.9103,40.90041031157767
2018-05-28,3,Malerkotla,3,1.6347299,True,0,14.383322934101418,5.6785,253.29440757420832
2018-05-28,3,Moonak,3,1.6347299,True,0,0.4351247353697092,4.2223,10.305396001461506
2018-05-28,3,Sangrur,3,1.6347299,True,0,6.569280269361414,4.6655999999999995,140.8024749091524
2018-05-28,3,Sunam,3,1.6347299,True,0,4.2424474592168675,4.5687,92.85896336412694
2018-05-29,3,Dhuri,3,1.6883126,True,0,9.17961245594625,5.4107,169.65665174462177
2018-05-29,3,Lehra,3,1.6883126,True,0,1.2470190881601617,4.2646,29.24117357220283
2018-05-29,3,Malerkotla,3,1.6883126,True,0,14.015485374907493,6.1545000000000005,227.72744130160845
2018-05-29,3,Moonak,3,1.6883126,True,0,0.019502902289666224,4.6398,0.42033928810867327
2018-05-29,3,Sangrur,3,1.6883126,True,0,6.0916372642618795,5.1475,118.34166613427644
2018-05-29,3,Sunam,3,1.6883126,True,0,3.810531984095893,5.0043,76.14515484874794
2018-05-30,3,Dhuri,4,1.4844509,True,0,8.525290457698603,6.020900000000001,141.5949518792639
2018-05-30,3,Lehra,4,1.4844509,True,0,0.9203924139869839,4.6522,19.78402506313108
2018-05-30,3,Malerkotla,4,1.4844509,True,0,13.297225356172753,6.8702000000000005,193.54931961475287
2018-05-30,3,Moonak,4,1.4844509,True,0,-0.10942881172341146,5.078899999999999,-2.154577009262074
2018-05-30,3,Sangrur,4,1.4844509,True,0,5.268908813833834,5.784799999999999,91.08195294277823
2018-05-30,3,Sunam,4,1.4844509,True,0,2.6684638716668623,5.5189,48.351372042741524
2018-05-31,3,Dhuri,4,1.3081238,True,0,11.34404169372013,6.5407,173.43773133946104
2018-05-31,3,Lehra,4,1.3081238,True,0,2.313806226217177,4.992999999999999,46.341001927041404
2018-05-31,3,Malerkotla,4,1.3081238,True,0,17.997297217356397,7.421100000000001,242.51522304451356
2018-05-31,3,Moonak,4,1.3081238,True,0,1.6604178106758614,5.4588,30.417267726897144
2018-05-31,3,Sangrur,4,1.3081238,True,0,7.390848555961406,6.395599999999999,115.56145718871423
2018-05-31,3,Sunam,4,1.3081238,True,0,4.827593442487122,5.9903,80.59017816281525
2018-06-01,3,Dhuri,5,1.262061,True,1,14.655226567220575,7.0981000000000005,206.46689349573228
2018-06-01,3,Lehra,5,1.262061,True,1,11.342318611480346,5.3422,212.31549944742514
2018-06-01,3,Malerkotla,5,1.262061,True,1,21.90826558756983,8.024999999999999,273.00019423763035
2018-06-01,3,Moonak,5,1.262061,True,1,11.581010493384309,5.815899999999999,199.1267128627437
2018-06-01,3,Sangrur,5,1.262061,True,1,12.99611206390562,7.0142,185.28288420497879
2018-06-01,3,Sunam,5,1.262061,True,1,12.788456897906055,6.466200000000001,197.77391509551288
2018-06-02,3,Dhuri,5,1.287205,True,1,13.971414409514459,7.6398,182.8767037031658
2018-06-02,3,Lehra,5,1.287205,True,1,11.020379110061228,5.6537999999999995,194.91986115641214
2018-06-02,3,Malerkotla,5,1.287205,True,1,21.133005936612992,8.6161,245.27345245079556
2018-06-02,3,Moonak,5,1.287205,True,1,11.326695343520974,6.0702,186.59509313566232
2018-06-02,3,Sangrur,5,1.287205,True,1,12.376815919813762,7.6422,161.95357252903304
2018-06-02,3,Sunam,5,1.287205,True,1,12.287893479196242,6.905399999999999,177.94615053720628
2018-06-03,3,Dhuri,5,1.5892854,True,1,10.87948175725719,8.1546,133.41527183745603
2018-06-03,3,Lehra,5,1.5892854,True,1,10.57400941466282,5.979699999999999,176.83177106983328
2018-06-03,3,Malerkotla,5,1.5892854,True,1,13.698746038006906,9.197700000000001,148.9366476185014
2018-06-03,3,Moonak,5,1.5892854,True,1,11.072847932524938,6.3238,175.0980096227733
2018-06-03,3,Sangrur,5,1.5892854,True,1,10.229213078784406,8.242700000000001,124.10027149822758
2018-06-03,3,Sunam,5,1.5892854,True,1,10.628517264670496,7.3297,145.00617030261122
