forecast_date,url,status_code,available,content_length_bytes,content_length_mb,local_file_exists
2010-05-01,https://data.chc.ucsb.edu/products/CHIRPS-GEFS/v3/daily/global/2010/05/01/c3g_2010.05.01.tif,200.0,True,71381328.0,68.07,False
2010-05-02,https://data.chc.ucsb.edu/products/CHIRPS-GEFS/v3/daily/global/2010/05/02/c3g_2010.05.02.tif,200.0,True,67941174.0,64.79,False
2010-05-03,https://data.chc.ucsb.edu/products/CHIRPS-GEFS/v3/daily/global/2010/05/03/c3g_2010.05.03.tif,200.0,True,75869648.0,72.35,False
2010-05-04,https://data.chc.ucsb.edu/products/CHIRPS-GEFS/v3/daily/global/2010/05/04/c3g_2010.05.04.tif,200.0,True,70987462.0,67.7,False
2010-05-05,https://data.chc.ucsb.edu/products/CHIRPS-GEFS/v3/daily/global/2010/05/05/c3g_2010.05.05.tif,200.0,True,69842866.0,66.61,False
2010-05-06,https://data.chc.ucsb.edu/products/CHIRPS-GEFS/v3/daily/global/2010/05/06/c3g_2010.05.06.tif,200.0,True,67180542.0,64.07,False
2010-05-07,https://data.chc.ucsb.edu/products/CHIRPS-GEFS/v3/daily/global/2010/05/07/c3g_2010.05.07.tif,200.0,True,67012250.0,63.91,False
2010-05-08,https://data.chc.ucsb.edu/products/CHIRPS-GEFS/v3/daily/global/2010/05/08/c3g_2010.05.08.tif,200.0,True,67430838.0,64.31,False
2010-05-09,https://data.chc.ucsb.edu/products/CHIRPS-GEFS/v3/daily/global/2010/05/09/c3g_2010.05.09.tif,200.0,True,69040248.0,65.84,False
2010-05-10,https://data.chc.ucsb.edu/products/CHIRPS-GEFS/v3/daily/global/2010/05/10/c3g_2010.05.10.tif,200.0,True,75148562.0,71.67,False
2010-05-11,https://data.chc.ucsb.edu/products/CHIRPS-GEFS/v3/daily/global/2010/05/11/c3g_2010.05.11.tif,200.0,True,67226790.0,64.11,False
2010-05-12,https://data.chc.ucsb.edu/products/CHIRPS-GEFS/v3/daily/global/2010/05/12/c3g_2010.05.12.tif,200.0,True,69960210.0,66.72,False
2010-05-13,https://data.chc.ucsb.edu/products/CHIRPS-GEFS/v3/daily/global/2010/05/13/c3g_2010.05.13.tif,200.0,True,75644456.0,72.14,False
2010-05-14,https://data.chc.ucsb.edu/products/CHIRPS-GEFS/v3/daily/global/2010/05/14/c3g_2010.05.14.tif,200.0,True,67333068.0,64.21,False
2010-05-15,https://data.chc.ucsb.edu/products/CHIRPS-GEFS/v3/daily/global/2010/05/15/c3g_2010.05.15.tif,200.0,True,68578050.0,65.4,False
2010-05-16,https://data.chc.ucsb.edu/products/CHIRPS-GEFS/v3/daily/global/2010/05/16/c3g_2010.05.16.tif,200.0,True,68152586.0,65.0,False
2010-05-17,https://data.chc.ucsb.edu/products/CHIRPS-GEFS/v3/daily/global/2010/05/17/c3g_2010.05.17.tif,200.0,True,71153936.0,67.86,False
2010-05-18,https://data.chc.ucsb.edu/products/CHIRPS-GEFS/v3/daily/global/2010/05/18/c3g_2010.05.18.tif,200.0,True,67685462.0,64.55,False
2010-05-19,https://data.chc.ucsb.edu/products/CHIRPS-GEFS/v3/daily/global/2010/05/19/c3g_2010.05.19.tif,200.0,True,76738470.0,73.18,False
2010-05-20,https://data.chc.ucsb.edu/products/CHIRPS-GEFS/v3/daily/global/2010/05/20/c3g_2010.05.20.tif,200.0,True,67497942.0,64.37,False
2010-05-21,https://data.chc.ucsb.edu/products/CHIRPS-GEFS/v3/daily/global/2010/05/21/c3g_2010.05.21.tif,200.0,True,75822368.0,72.31,False
2010-05-22,https://data.chc.ucsb.edu/products/CHIRPS-GEFS/v3/daily/global/2010/05/22/c3g_2010.05.22.tif,200.0,True,71635838.0,68.32,False
2010-05-23,https://data.chc.ucsb.edu/products/CHIRPS-GEFS/v3/daily/global/2010/05/23/c3g_2010.05.23.tif,200.0,True,68358112.0,65.19,False
2010-05-24,https://data.chc.ucsb.edu/products/CHIRPS-GEFS/v3/daily/global/2010/05/24/c3g_2010.05.24.tif,200.0,True,68513364.0,65.34,False
2010-05-25,https://data.chc.ucsb.edu/products/CHIRPS-GEFS/v3/daily/global/2010/05/25/c3g_2010.05.25.tif,200.0,True,76342752.0,72.81,False
2010-05-26,https://data.chc.ucsb.edu/products/CHIRPS-GEFS/v3/daily/global/2010/05/26/c3g_2010.05.26.tif,200.0,True,70538862.0,67.27,False
2010-05-27,https://data.chc.ucsb.edu/products/CHIRPS-GEFS/v3/daily/global/2010/05/27/c3g_2010.05.27.tif,200.0,True,71215666.0,67.92,False
2010-05-28,https://data.chc.ucsb.edu/products/CHIRPS-GEFS/v3/daily/global/2010/05/28/c3g_2010.05.28.tif,200.0,True,71766834.0,68.44,False
2010-05-29,https://data.chc.ucsb.edu/products/CHIRPS-GEFS/v3/daily/global/2010/05/29/c3g_2010.05.29.tif,200.0,True,71041330.0,67.75,False
2010-05-30,https://data.chc.ucsb.edu/products/CHIRPS-GEFS/v3/daily/global/2010/05/30/c3g_2010.05.30.tif,200.0,True,71054768.0,67.76,False
2010-05-31,https://data.chc.ucsb.edu/products/CHIRPS-GEFS/v3/daily/global/2010/05/31/c3g_2010.05.31.tif,200.0,True,67661118.0,64.53,False
2010-06-01,https://data.chc.ucsb.edu/products/CHIRPS-GEFS/v3/daily/global/2010/06/01/c3g_2010.06.01.tif,200.0,True,65650908.0,62.61,False
2010-06-02,https://data.chc.ucsb.edu/products/CHIRPS-GEFS/v3/daily/global/2010/06/02/c3g_2010.06.02.tif,200.0,True,66948226.0,63.85,False
2010-06-03,https://data.chc.ucsb.edu/products/CHIRPS-GEFS/v3/daily/global/2010/06/03/c3g_2010.06.03.tif,200.0,True,67109178.0,64.0,False
2010-06-04,https://data.chc.ucsb.edu/products/CHIRPS-GEFS/v3/daily/global/2010/06/04/c3g_2010.06.04.tif,200.0,True,67568440.0,64.44,False
2010-06-05,https://data.chc.ucsb.edu/products/CHIRPS-GEFS/v3/daily/global/2010/06/05/c3g_2010.06.05.tif,200.0,True,70777480.0,67.5,False
2010-06-06,https://data.chc.ucsb.edu/products/CHIRPS-GEFS/v3/daily/global/2010/06/06/c3g_2010.06.06.tif,200.0,True,70467682.0,67.2,False
2010-06-07,https://data.chc.ucsb.edu/products/CHIRPS-GEFS/v3/daily/global/2010/06/07/c3g_2010.06.07.tif,200.0,True,76216328.0,72.69,False
2010-06-08,https://data.chc.ucsb.edu/products/CHIRPS-GEFS/v3/daily/global/2010/06/08/c3g_2010.06.08.tif,200.0,True,71273606.0,67.97,False
2010-06-09,https://data.chc.ucsb.edu/products/CHIRPS-GEFS/v3/daily/global/2010/06/09/c3g_2010.06.09.tif,200.0,True,72332748.0,68.98,False
2010-06-10,https://data.chc.ucsb.edu/products/CHIRPS-GEFS/v3/daily/global/2010/06/10/c3g_2010.06.10.tif,200.0,True,69739992.0,66.51,False
2010-06-11,https://data.chc.ucsb.edu/products/CHIRPS-GEFS/v3/daily/global/2010/06/11/c3g_2010.06.11.tif,200.0,True,71673012.0,68.35,False
2010-06-12,https://data.chc.ucsb.edu/products/CHIRPS-GEFS/v3/daily/global/2010/06/12/c3g_2010.06.12.tif,200.0,True,71189778.0,67.89,False
2010-06-13,https://data.chc.ucsb.edu/products/CHIRPS-GEFS/v3/daily/global/2010/06/13/c3g_2010.06.13.tif,200.0,True,76137472.0,72.61,False
2010-06-14,https://data.chc.ucsb.edu/products/CHIRPS-GEFS/v3/daily/global/2010/06/14/c3g_2010.06.14.tif,200.0,True,70859534.0,67.58,False
